package,palette,length,type,novelty
awtools,a_palette,8,sequential,TRUE
awtools,ppalette,8,qualitative,TRUE
awtools,bpalette,16,qualitative,TRUE
awtools,gpalette,4,sequential,TRUE
awtools,mpalette,9,qualitative,TRUE
awtools,spalette,6,qualitative,TRUE
basetheme,brutal,10,qualitative,TRUE
basetheme,clean,10,qualitative,TRUE
basetheme,dark,10,qualitative,TRUE
basetheme,deepblue,10,qualitative,TRUE
basetheme,ink,10,qualitative,TRUE
basetheme,minimal,10,qualitative,TRUE
basetheme,royal,10,qualitative,TRUE
basetheme,void,10,qualitative,TRUE
beyonce,X1,6,divergent,TRUE
beyonce,X2,6,sequential,TRUE
beyonce,X3,6,sequential,TRUE
beyonce,X4,6,qualitative,TRUE
beyonce,X5,6,qualitative,TRUE
beyonce,X6,6,divergent,TRUE
beyonce,X7,6,sequential,TRUE
beyonce,X8,6,sequential,TRUE
beyonce,X9,6,qualitative,TRUE
beyonce,X10,6,divergent,TRUE
beyonce,X11,6,qualitative,TRUE
beyonce,X12,6,qualitative,TRUE
beyonce,X13,6,qualitative,TRUE
beyonce,X14,6,qualitative,TRUE
beyonce,X15,6,qualitative,TRUE
beyonce,X16,6,sequential,TRUE
beyonce,X17,6,qualitative,TRUE
beyonce,X18,6,qualitative,TRUE
beyonce,X19,6,qualitative,TRUE
beyonce,X20,6,qualitative,TRUE
beyonce,X21,6,qualitative,TRUE
beyonce,X22,6,qualitative,TRUE
beyonce,X23,6,sequential,TRUE
beyonce,X24,4,sequential,TRUE
beyonce,X25,6,qualitative,TRUE
beyonce,X26,6,sequential,TRUE
beyonce,X27,6,qualitative,TRUE
beyonce,X28,6,sequential,TRUE
beyonce,X29,6,qualitative,TRUE
beyonce,X30,6,qualitative,TRUE
beyonce,X31,6,qualitative,TRUE
beyonce,X32,6,qualitative,TRUE
beyonce,X33,6,qualitative,TRUE
beyonce,X34,6,divergent,TRUE
beyonce,X35,6,qualitative,TRUE
beyonce,X36,6,qualitative,TRUE
beyonce,X37,6,qualitative,TRUE
beyonce,X38,6,qualitative,TRUE
beyonce,X39,6,divergent,TRUE
beyonce,X40,8,qualitative,TRUE
beyonce,X41,5,sequential,TRUE
beyonce,X42,6,qualitative,TRUE
beyonce,X43,6,qualitative,TRUE
beyonce,X44,6,qualitative,TRUE
beyonce,X45,6,qualitative,TRUE
beyonce,X46,6,divergent,TRUE
beyonce,X47,6,divergent,TRUE
beyonce,X48,6,qualitative,TRUE
beyonce,X49,6,qualitative,TRUE
beyonce,X50,6,sequential,TRUE
beyonce,X51,6,divergent,TRUE
beyonce,X52,6,sequential,TRUE
beyonce,X53,6,qualitative,TRUE
beyonce,X54,6,sequential,TRUE
beyonce,X55,7,sequential,TRUE
beyonce,X56,6,qualitative,TRUE
beyonce,X57,9,qualitative,TRUE
beyonce,X58,6,sequential,TRUE
beyonce,X59,9,sequential,TRUE
beyonce,X60,9,qualitative,TRUE
beyonce,X61,15,qualitative,TRUE
beyonce,X62,23,qualitative,TRUE
beyonce,X63,11,qualitative,TRUE
beyonce,X64,11,qualitative,TRUE
beyonce,X65,13,qualitative,TRUE
beyonce,X66,11,qualitative,TRUE
beyonce,X67,11,qualitative,TRUE
beyonce,X68,11,qualitative,TRUE
beyonce,X69,11,qualitative,TRUE
beyonce,X70,11,qualitative,TRUE
beyonce,X71,17,qualitative,TRUE
beyonce,X72,12,qualitative,TRUE
beyonce,X73,14,qualitative,TRUE
beyonce,X74,11,qualitative,TRUE
beyonce,X75,11,qualitative,TRUE
beyonce,X76,20,qualitative,TRUE
beyonce,X77,11,qualitative,TRUE
beyonce,X78,4,qualitative,TRUE
beyonce,X79,11,qualitative,TRUE
beyonce,X80,11,qualitative,TRUE
beyonce,X81,10,qualitative,TRUE
beyonce,X82,11,qualitative,TRUE
beyonce,X83,11,qualitative,TRUE
beyonce,X84,11,qualitative,TRUE
beyonce,X85,11,sequential,TRUE
beyonce,X86,11,sequential,TRUE
beyonce,X87,14,sequential,TRUE
beyonce,X88,12,qualitative,TRUE
beyonce,X89,11,qualitative,TRUE
beyonce,X90,11,qualitative,TRUE
beyonce,X91,6,qualitative,TRUE
beyonce,X92,8,qualitative,TRUE
beyonce,X93,31,qualitative,TRUE
beyonce,X94,14,qualitative,TRUE
beyonce,X95,20,qualitative,TRUE
beyonce,X96,20,qualitative,TRUE
beyonce,X97,19,qualitative,TRUE
beyonce,X98,16,qualitative,TRUE
beyonce,X99,19,qualitative,TRUE
beyonce,X100,14,qualitative,TRUE
beyonce,X101,6,qualitative,TRUE
beyonce,X102,6,qualitative,TRUE
beyonce,X103,5,sequential,TRUE
beyonce,X104,5,qualitative,TRUE
beyonce,X105,6,qualitative,TRUE
beyonce,X106,5,qualitative,TRUE
beyonce,X107,5,qualitative,TRUE
beyonce,X108,7,qualitative,TRUE
beyonce,X109,6,qualitative,TRUE
beyonce,X110,16,qualitative,TRUE
beyonce,X111,15,qualitative,TRUE
beyonce,X112,17,qualitative,TRUE
beyonce,X113,14,qualitative,TRUE
beyonce,X114,18,qualitative,TRUE
beyonce,X115,5,sequential,TRUE
beyonce,X116,21,qualitative,TRUE
beyonce,X117,16,qualitative,TRUE
beyonce,X118,10,qualitative,TRUE
beyonce,X119,7,qualitative,TRUE
beyonce,X120,10,qualitative,TRUE
beyonce,X121,6,qualitative,TRUE
beyonce,X122,6,qualitative,TRUE
beyonce,X123,6,qualitative,TRUE
beyonce,X124,6,divergent,TRUE
beyonce,X125,7,qualitative,TRUE
beyonce,X126,6,qualitative,TRUE
beyonce,X127,6,qualitative,TRUE
beyonce,X128,6,qualitative,TRUE
beyonce,X129,6,qualitative,TRUE
beyonce,X130,5,qualitative,TRUE
ButterflyColors,hamadryas_feronia_2,5,qualitative,TRUE
ButterflyColors,philaethria_dido,5,qualitative,TRUE
ButterflyColors,anteos_menippe,5,qualitative,TRUE
ButterflyColors,fountainea_ryphea,5,qualitative,TRUE
ButterflyColors,lycorea_hallia,5,qualitative,TRUE
ButterflyColors,morpho_helenor,5,qualitative,TRUE
ButterflyColors,archaeoprepona_demophon_thalpius,5,qualitative,TRUE
ButterflyColors,brassolis_sophorae,5,qualitative,TRUE
ButterflyColors,historis_acheronta,5,qualitative,TRUE
ButterflyColors,stalachtis_phlegia_susanna,5,qualitative,TRUE
ButterflyColors,battus_polydamas,5,qualitative,TRUE
ButterflyColors,anteos_clorinde,5,qualitative,TRUE
ButterflyColors,chorinea_licursis,5,qualitative,TRUE
ButterflyColors,danaus_eresimus,5,qualitative,TRUE
ButterflyColors,smyrna_blomfidiana,5,qualitative,TRUE
ButterflyColors,astraptes_fulgerator,5,qualitative,TRUE
ButterflyColors,hamadryas_feronia,5,qualitative,TRUE
ButterflyColors,pseudolycaena_marsyas,5,qualitative,TRUE
ButterflyColors,catagramma_pygas,5,qualitative,TRUE
ButterflyColors,heliconius_sara_apseudes,5,qualitative,TRUE
ButterflyColors,synargis_calyce,5,qualitative,TRUE
ButterflyColors,hamadryas_feronia,5,qualitative,TRUE
ButterflyColors,heliconius_erato_phyllis,5,qualitative,TRUE
ButterflyColors,hylephila_phyleus,5,qualitative,TRUE
ButterflyColors,danaus_erippus,5,qualitative,TRUE
ButterflyColors,danaus_gilippus,5,qualitative,TRUE
ButterflyColors,junonia_evarete,5,qualitative,TRUE
ButterflyColors,hemiargus_hanno,5,qualitative,TRUE
ButterflyColors,dynamine_postverta,5,qualitative,TRUE
ButterflyColors,parides_zacynthus_polymetus,5,qualitative,TRUE
ButterflyColors,marpesia_petreus,5,qualitative,TRUE
calecopal,sierra1,6,qualitative,TRUE
calecopal,sierra2,6,qualitative,TRUE
